text,label,predictions
"It is also used to identify what are known as emerging risks, in other words risks which could potentially have an adverse impact on the Group’s future performance, although their result and horizontal time frame are uncertain and difficult to predict (for further details see section ‘Emerging risks’ from chapter C. Background and upcoming challenges).",0,3
"We also assess risks on the basis of their potential impact on the value of our franchise, which is supported by our reputation, brand and good customer relationships. Conduct and operational risks, such as cyber security breaches, data loss and IT systems failure, in particular have the potential to significantly impact our franchise value.",0,2
"The sensitivity analysis does not show a comprehensive picture of all potential scenarios. Further, variables do not tend to move in isolation, nor in a uniform or consistent manner, and the analysis does not show the potentially infinite number of permutations, and resultant impacts, that might arise in reality as a consequence.",0,3
"4. While Canadian financial regulations are considered to be best in kind, they may pose an obstacle for financial institutions in adapting to the fintech ecosystem. The study found that there is a growing disconnect between regulations and the latest technological advances. Current regulations make it difficult for Financial Firms to undertake the low-level, rapid experimentation required to develop safe, useful fintech products and services.",0,3
"Regulatory developments Globalization affects the insurance industry as well as its customers. Although many of today’s risks are globally interconnected and the largest insurers operate globally, insurance regulation is still mainly focused on national markets. From a global perspective, the regulatory framework is fragmented. This threatens the efficient use of capital and makes it harder for global insurers to fulfil their potential as bearers of risk. As a global insurer, Zurich advocates a consolidated group-wide approach to regulation, such as the International Association of Insurance Supervisors’ Common Framework for the Supervision of Internationally Active Insurance Groups initiative.",0,2
"We meet the financing needs of our customers with a broad and modern product range. The focus of the portfolio is on traditional owner-occupied home financing and the financing of real estate capital investments (residential mortgage loans and investment properties with a total EaD of €61bn). We provide our business customers with credit in the form of individual loans with a volume of €14bn. In addition, we meet our customers’ day-to-day demand for credit with consumer loans (consumer and instalment loans, credit cards to a total of €10bn).",0,1
"Thus, the Board of Directors, upon recommendation of its Compensation & Governance Committee, and following a comparative review of national, European and industry practices, decided to maintain unchanged, for 2018, the Chief Executive Off icer’s target annual variable compensation, at €1.45 million, i.e. 100% of the amount of his annual fixed compensation.",0,4
"$15-20 billion in projected savings for the banking sector by 2022 thanks to blockchain technology* in manufacturing efficiency over the next five years, contributing $500 billion in annual added value to the global economy. To helps its clients secure these benefits, Capgemini offers a Digital Manufacturing service line that improves efficiencies and productivity through smart, connected services (see page 60).",0,2
"£3 billion (20 per cent) of the Group’s revenue and our customer facing channels to market are mentioned on page 24. Additional technology investments are aimed at improving execution and efficiency in all areas of our business from warehousing, fleet, inventory and customer relationship management to back-office human resources and financial management and reporting systems.",0,2
Economic and financial results in the four-year plan: the adjusted operating profit expected at €0.9 billion in 2021; cumulated free cash flow at €2.1 billion in 2018-2021. ● Reducing refining break-even margin at approximately 3 $/barrel by the end of 2018. ● Completion of the Gela conversion in biorefinery and the development of the second phase of the Venice biorefinery. ● Strengthening of marketing activities in countries of presence. ● Focus on digitalization to optimize operations and enhance efficiencies.,0,1
"In late 2017, CN committed to purchasing 200 new alternating current traction locomotives over the next three years to accommodate future growth opportunities and drive operational efficiency across the system. CN’s order is the largest among Class I railways since 2014. These high-horsepower engines are equipped with advanced digital technologies to optimize power distribution, train handling, brake control and fuel utilization.",0,2
"CN invested $1.6 billion in basic track infrastructure in 2017 to improve the safety and fluidity of our network. The work included the replacement of more than 2.2 million cross ties and the installation of over 600 miles of new rail, as well as bridge repairs, branch line upgrades and other general track maintenance. In 2018, CN is targeting a record $3.2 billion in total capital investment, up",0,1
"This figure included €153 million worth of assets in the Artemis office portfolio which comprises 33 assets, covering 360,000 sqm, in five different European countries. Over the rest of the portfolio, a further €255 million of assets are contracted and currently in the process of being onboarded during the first half of this year and will add to AUM during FY18.",0,1
"IAG is exposed to multiple risks relating to the conduct of its general insurance business. The risks noted below are not meant to represent an exhaustive list, but outline those risks faced by IAG that have been identified in IAG's RMS:  strategic risk – the risk of not achieving corporate or strategic goals due to poor business decisions regarding future business plans and strategies and/or a lack of responsiveness to changes in the business environment;",0,2
Risks to the Group’s reputation Risks include acts or omissions by the Group or any of its employees that could damage the Group’s reputation or lead to a loss of trust among its stakeholders. Every risk type has potential consequences for Zurich’s reputation. Effectively managing each type of risk helps reduce such threats.,0,2
"As a leader in the index investing and asset management industry, BlackRock has been the subject of commentary citing concerns about the growth of index investing, as well as perceived competition issues associated with asset managers managing stakes in multiple companies within certain industries, known as “common ownership”. The commentators argue that index funds have the potential to distort investment flows, create stock price bubbles, or conversely, exacerbate a decline in market prices.",0,2
"Compliance risk Compliance risk is the risk of failure to comply with applicable rules and regulations, and in so doing, exposing the group to penalties and reputational damage. Penalties received or due for non-compliance are an example of this risk. As a leading financial services group, the group faces complex challenges to ensure that its activities comply with local legislation, regulations and supervisory requirements and the relevant international standards and requirements.",0,3
"Reputation Risk: This is the risk of loss of credibility due to internal or external factors and is often related to, or results from, other categories of risk. This risk can arise from our internal business practices or those of our business partners or the companies in which we invest. Business partners include third parties hired to perform some of our administrative functions as well as investment organizations with which we have a contractual arrangement. A loss of reputation could impact our position as a partner, investor and employer of choice and impede our ability to execute our strategy.",0,2
"The inability to reform mortgage markets has dramatically reduced mortgage availability. In fact, our analysis shows that, conservatively, more than $1 trillion in additional mortgage loans might have been made over a five-year period had we reformed our mortgage system. J.P. Morgan analysis indicates that the cost of not reforming the mortgage markets could be as high as 0.2% of GDP a year.",0,2
"The types of events that give rise to reputation risk are broad and could be introduced in various ways, including by the Firm’s employees and the clients, customers and counterparties with which the Firm does business. These events could result in financial losses, litigation and regulatory fines, as well as other damages to the Firm. As reputation risk is inherently difficult to identify, manage, and quantify, an independent reputation risk management governance function is critical.",0,3
"For our stakeholders: for customers, breaches in security may cause personal loss (both financial and emotional). There may also be consequences for relations with suppliers and intermediaries. For investors, any loss of business or reputation could result in lower returns. PSD2 will increase consumers’ control over financial data, but also their responsibility for this data.",0,2
"International political, social and economic risks Equinor has international interests located in regions where political, social and economic instability could adversely affect Equinor’s business. Equinor has assets and operations located in diverse regions globally where potentially negative economic, social, and political developments could occur. These political risks and security threats require continuous monitoring. Uncertainty exists around the UK`s exit from the EU and the potential market impact.",0,2
"In April 2018, the Group successfully completed a refinancing to convert floating to fixed debt and to extend the debt maturity out to November 2025. The Group issued a US$300 million bond with a fixed interest rate of 6.625%, which was swapped back to sterling upon issuance at an effective interest rate of 5%. The proceeds of the new issue were used to repay in full the £200 million floating rate bond issued in 2017 which had a maturity of 2022.",0,1
"IFC expands the availability of such technologies by channeling investments toward private companies that build modern communications infrastructure and information-technology businesses. In FY18, we invested $376 million in initiatives related to technology, including funds mobilized from other investors — expanding our portfolio in this sector to more than $2.4 billion.",0,1
"Our offerings are designed to meet the specific needs of IFC clients in different industries — with a special focus on infrastructure, manufacturing, agribusiness, services, and financial markets. In FY18, we made $11.6 billion in long-term investments in 366 projects. In addition, we mobilized nearly $11.7 billion to support the private sector in developing countries.",0,1
"JPMorgan Chase believes that companies must do even more to help solve today’s biggest challenges and create economic opportunity for more people. To do so, they must invest in communities the same way they invest in their own businesses. As announced in early 2018, our firm will deploy $1.75 billion by 2023 to drive inclusive growth in communities around the world. Generating Return on Community is one of our core objectives because we know that the future of our company depends on the well-being of our communities.",0,2
"In 2018, CN spent approximately $3.5 billion in its capital program, with $1.6 billion invested to maintain the safety and integrity of the network, particularly track infrastructure. CN's capital spending also included $1.0 billion on strategic initiatives to increase capacity, enable growth and improve network resiliency, including line capacity upgrades and information technology initiatives, $0.5 billion on equipment capital expenditures, including the acquisition of 500 new centerbeam cars and 65 new high-horsepower locomotives, and $0.4 billion on implementation of Positive Train Control (PTC), the safety technology mandated by the U.S. Congress.",0,1
"Through these initiatives, Konica Minolta is aiming to achieve the business targets of more than ¥75 billion in operating profit, ¥50 billion in profit attributable to owners of the company, and ROE of 9.5% by fiscal 2019, the final year of the Medium Term Business Plan. Beyond this, we are looking to achieve a medium-term target of more than ¥100 billion in operating profit and more than ¥70 billion in profit attributable to owners of the company by fiscal 2021.",0,1
" For asset management companies belonging to a Group (most of the tested sample), inadequate internal supervision of the services (relating to IT, cybersecurity and business continuity) performed by the parent company was identified. But the technical execution of these services by the Group cannot exempt asset management companies from their responsibilities regarding the definition (in priority) of the main risk areas and management of the relevant controls.",0,2
CORPORATE AND HOUSEHOLD DEBT 25 carried out a benchmark study of the banks’ calculated risk weights for exposures to commercial real estate. The results of the two analyses showed that there is a risk that the capital banks have earmarked for lending to commercial real estate will not sufficiently compensate for the credit losses that could arise following a severe financial stress. It is against this background that FI proposes higher capital requirements for lending to commercial real estate (see “Stability in the banking sector”).,0,3
"Reputational risk In 2019 and in recent years, there has continued to be a range of material risk events such as service outages and data compromises in the market. These impact the reputation of the financial services industry as a whole and potentially threaten consumer confidence in both the reliability of services and the safety of their data and savings.",0,2
"Operational risks are inherent in the Barclays Bank Group’s business activities and it is not cost effective or possible to attempt to eliminate all operational risks. The Operational Risk Framework is therefore focused on identifying operational risks, assessing them and managing them within the Barclays Bank Group’s approved risk appetite.",0,3
"We have devoted significant resources to develop our risk management capabilities and expect to continue to do so in the future. Nonetheless, our risk management strategies, models and processes, including our use of various risk models for assessing market exposures and hedging strategies, stress testing and other analysis, may not be fully effective in mitigating our risk exposure in all market environments or against all types of risk, including risks that are unidentified or unanticipated.",0,3
"Disappointingly, the vast majority of companies only make generic references to emerging risks when describing their risk management processes. They provide little insight into whether existing risk management processes were sufficient to identify emerging risks or whether they had to flex or amend these processes to do so. They give little information about how emerging risks, once identified, are treated and monitored.",0,3
"Compliance Risk Management Compliance risk (a type of operational risk) is the risk resulting from the failure to comply with laws (legislation, regulations and rules) and regulatory guidance, and the failure to appropriately address associated impacts, including to customers. Compliance risk encompasses violations of applicable internal policies, program requirements, procedures, and standards related to ethical principles applicable to the banking industry.",0,3
"Creating value Measuring our reputation KPI FY19 FY18 FY17 FY16 FY15 AGL‘s Reptrak score declined since FY18. The drop in AGL‘s reputation over the past year has been driven by declining scores on three important dimensions of reputation – leadership, workplace and citizenship. This decline in reputation was consistent with scores across the energy industry as a whole.",0,1
"Given the significant impact of this period of uncertainty on both Canadian businesses and companies and governments around the world, and the resulting volatility in financial markets, we expect to see significant effects on several of our financial statement line items and on our financial results in 2020. The timing and size of those impacts is not possible to forecast at this time.",0,2
"The quantitative investment strategies focus mainly on stock picking based on quality and valuation. It is precisely these strategies, which yield long-term value and are suitable for large portfolios, that tend to perform poorly in a context of highly accommodative central bank monetary policies. In 2019, all major quantitative investment styles performed poorly; stock picking based on valuation and quality and stock picking based on recent price trends both yielded negative returns. This combination is seldom seen.",0,3
Risks to the Group’s reputation Risks include acts or omissions by the Group or any of its employees that could damage the Group’s reputation or lead to a loss of trust among its stakeholders. Every risk type has potential consequences for Zurich’s reputation. Effectively managing each risk type supports preventing adverse reputation outcomes.,0,2
"We may be subject to unionization, work stoppages, slowdowns or increased labor costs and the unionization of the Company’s pilots and inflight crewmembers could result in increased labor costs. Our business is labor intensive and the unionization of any of our crewmembers could result in demands that may increase our operating expenses and adversely affect our financial condition and results of operations. Any of the different crafts or classes of our crewmembers could unionize at any time, which would require us to negotiate in good faith with the crewmember group’s certified representative concerning a collective bargaining agreement. In addition, we may be subject to disruptions by unions protesting the non-union status of our other crewmembers. Any of these events would be disruptive to our operations and could harm our business.",0,2
"If we are unable to attract and retain qualified personnel or fail to maintain our company culture, our business could be harmed. We compete against other major U.S. airlines for pilots, mechanics, and other skilled labor; some of them offer wage and benefit packages exceeding ours. As more pilots in the industry approach mandatory retirement age, the U.S. airline industry may be affected by a pilot shortage. We may be required to increase wages and/or benefits in order to attract and retain qualified personnel or risk considerable crewmember turnover. If we are unable to hire, train, and retain qualified crewmembers, our business could be harmed and we may be unable to implement our growth plans.",0,2
"Operational risks Operational risks relate to the losses resulting from inadequate or failed internal processes, people and systems, or due to external events. These risks normally fall within our low-risk appetite level as there is no strategic benefit from accepting the risk and accepting that it is not in line with our vision and values.",0,2
"Reputation: In managing our reputation we seek to avoid the loss of credibility due to internal or external factors. Many types of risk have the potential to negatively impact our corporate reputation. Internal business practices, or those of our business partners or the companies in which we invest, may generate reputation harm. Consequences include diminished brand efficacy in commercial markets, impeding our ability to execute our strategy and our status as investor, partner and employer of choice.",0,2
"In addition, our businesses and the markets in which we operate are continuously evolving. We may fail to fully understand the implications of changes in our businesses or the financial markets or fail to adequately or timely enhance our risk framework to address those changes. If our risk framework is ineffective because it fails to keep pace with changes in the financial markets, regulatory requirements, our businesses, our counterparties, clients or service providers or for other reasons, we could incur losses, suffer reputational damage or find ourselves out of compliance with applicable regulatory or contractual mandates or expectations.",0,2
"Although we have devoted significant resources to develop our risk management policies, procedures and methods, including with respect to market, credit, liquidity, operational as well as reputational and model risk, they may not be fully effective in mitigating our risk exposures in all economic market environments or against all types of risk, including risks that we fail to identify or anticipate.",0,3
"The enterprise risks were categorized as an external, operational or strategic risk. External risks emerge from outside the organization, operational risks arise from within the organization, and strategic risks are associated with our strategic initiatives. The identified risks can significantly affect the Association’s finance, relevancy and reputation if mitigations are not in place.",0,2
"Given how essential bonds are to the global economy — as a source of risk management and returns for investors, as a source of capital for companies and governments — the lack of structural innovations to the bond market for many years was surprising. For decades, bond markets largely stayed the same. And in fact, investing in bonds became more difficult following the global financial crisis, as greater regulatory oversight and capital restrictions significantly reduced banks’ balance sheets and as a result, bond inventories.",0,2
"IAG is exposed to multiple risks relating to its general insurance business. The risks noted below are not meant to represent an exhaustive list, but outline the material risks faced by the Group as identified in the RMS:  strategic risk – the risk that internal or external factors compromise our ability to execute our strategic objectives or our strategy;",0,2
"We could suffer losses and our business has been and could be adversely affected by the failure to adopt and implement effective risk management We have implemented risk management strategies, policies and internal controls involving processes and procedures intended to identify, monitor and manage risks facing the Group. However, our risk management framework has not always been, or may not in the future prove to be, effective.",0,2
"Regulatory compliance can divert management attention and increase capacity needed to make changes to comply, thereby reducing the aptitude to pursue strategic objectives. It often tends to increase the size of risk, compliance and assurance functions which monitor, maintain and report on compliance. Regulatory compliance can introduce complexity and inefficiencies into ordinary business processes, which drive up cost and impact customers who do not always appreciate the value of regulations.",0,2
"1.4.2 Health, safety and security of employees and subcontractors Health and safety Employees of VINCI companies and subcontracting companies are required to work on the increasingly complex projects and operations that the Group carries out. This can threaten their health, safety, hygiene and the quality of their life at work. The health and safety coordinators of the Group’s business lines have identified several types of risk considered as major (see the column “Identifying risks” in the table below).",0,2
"Impacts of Risks are consequences of risks, both quantitative and qualitative. There may be many consequences of risks manifesting, such as a reduction in earnings and capital, liquidity outflows, and fines or penalties, or qualitative impacts such as reputation damage, loss of clients and customers, and regulatory and enforcement actions.",0,2
"Operational risk involves the risk of a positive, negative or potential loss resulting from inadequate or failed internal processes, human behaviour and systems or from external incidents. Business continuity risk, financial reporting risk, model risk and HR risk are within the scope of the Group’s operational risk management. Operational incidents and losses in all (risk) areas are recorded in the Operational Incident Database.",0,3
"Data: Advancements in new technologies and new services, an increasing external threat landscape, and changing regulatory requirements increase the need for the Group to effectively govern, manage, and protect its data (or the data shared with third-party suppliers). Failure to manage data risk effectively can result in unethical decisions, poor customer outcomes, loss of value to the Group and mistrust.",0,2
"64 exclusion lists of companies and countries, drawn up and updated periodically, with the help of an independent expert advisor. These lists include companies involved in controversial weapons and countries with high risk of violating human rights, which are automatically excluded from the list of companies in which BBVA can invest.",0,3
"Moreover, without expanding their risk profile, it is becoming increasingly difficult for insurers to obtain a return on invested premiums that will cover their future commitments. This pressure on business models has resulted in a swelling wave of mergers and acquisitions, now also involving non-traditional actors such as private equity funds.",0,2
"First microfinance deal in Bulgaria We carried out our first commitment to microfinance in Bulgaria, by guaranteeing up to EUR 700,000 of a EUR 5.1m microcredit portfolio for the JOBS Microfinance Institution. The estimated 320 loans will have a particular emphasis on enterprises created by young entrepreneurs, women, artisans and small-scale farmers.",0,1
"Reinvestment in the business In 2019, CN spent approximately $3.9 billion in its capital program, with $1.6 billion invested to maintain the safety and integrity of the network, particularly track infrastructure. CN's capital spending also included $1.2 billion on strategic initiatives to increase capacity, enable growth and improve network resiliency, including line capacity upgrades and information technology initiatives, $0.9 billion on equipment capital expenditures, including the acquisition of 154 new high-horsepower locomotives and 560 new grain hopper cars, and $0.2 billion on implementation of Positive Train Control (PTC), the safety technology system mandated by the U.S. Congress.",0,1
"MELBOURNE BACKS BTR In June 2019, we entered into an agreement with developer PDG to deliver 490 purpose-built, BTR apartments as part of the $450 million Munro development in Melbourne’s CBD. The Munro development is a key project within the City of Melbourne’s $250 million renewal of the Queen Victoria Market precinct.",0,2
"Under the Strategic Plan 2018-2022, the company continues to optimise the businesses through additional efciency measures, with the commitment to cut annual operating expenses by Euros 500 million in 2022. These efciencies are focused on an analysis of the company's non-core activities and on the assignment of operational functions within each of the business units, all supported by the ongoing digitalisation processes.",0,2
"While the transformation of our systems will continue beyond 2021, we are committed to remaining within the guided transformation investment spend of €1.4 billion equating to an average of 50 to 60 basis points of Common equity tier 1 (CET1) capital annually until 2021. We expect that investment in transformation beyond 2021 will be at a lower level.",0,1
"To help increase access to affordable and sustainable homeownership, in April 2019, we announced the $5 billion Bank of America Community Homeownership Commitment™ to benefit LMI homebuyers over the next five years. The initiative will help more than 20,000 individuals and families achieve homeownership through grants that directly assist homebuyers with their down payments and closing costs. At the end of 2019, the program helped over 9,000 new homeowners with $2.3 billion in mortgage lending.",0,1
"At the beginning of 2019, VINCI Airports signed a memorandum of understanding with the Portuguese government to extend Lisbon’s airport capacity. It provides for upgrading the existing Humberto Delgado Airport and building a new civil airport on the Montijo Air base opposite the city at the eastern end of the Tagus estuary. VINCI Airports will invest €1.15 billion over the next 10 years in this two-pronged project.",0,2
"At the announcement of the business plan for the fiscal year ending March 31, 2020, as for investments and loans, we are setting the target at ¥2.1 trillion, which is within the three-year cumulative range announced already, and there is no change to our forecasts for asset recycling and shareholder returns.",0,1
"Thus, the Board of Directors, upon recommendation of its Compensation & Governance Committee, and following a comparative review of national, European and industry practices, decided to maintain unchanged, for 2020, the Chief Executive Off icer’s target annual variable compensation, at €1.45 million, i.e. 100% of the amount of his annual fixed compensation.",0,4
"Until the end of March 2021, a total of 29 institutions, including domestic and foreign automobile manufacturers, automotive component manufacturers, and universities, will participate in these field operation tests to acquire test data, conduct analysis, and report test results. In addition, they are planning to carry out activities such as holding test drives and demonstration events and disseminating information to develop public acceptance of automated driving.",0,3
"Four years ago, we began to significantly increase our exposure to the credit asset class which now stands at $18.3 billion at the end of 2019. We believe that rotating capital away from low-yielding, long-dated government bonds into higher-yielding credit investments provides for a better return on risk in the current low interest rate environment.",0,2
"Operational risks Operational risks relate to the losses resulting from inadequate or failed internal processes, people and systems, or due to external events. These risks normally fall within our low-risk appetite level as there is no strategic benefit from accepting the risk, as it will not be in line with our vision and values.",0,2
"The COVID-19 pandemic rapidly introduced an array of new and elevated risks to the safety of our people, the resilience of our operations, the strength of our balance sheet and the financial security of our customers and the community. Action has been required to address these risks, particularly in the following areas:",0,2
"IAG is exposed to multiple risks relating to its businesses and pursuit of its strategic objectives. The risks noted below are not exhaustive, but outline the material risks faced by the Group as identified in the RMS:  strategic risk – the risk that internal or external factors compromise our ability to execute our strategic objectives or our strategy;",0,2
"14 those related to our products and services, demand and distribution, financial performance, credit rating and debt obligations. Given that developments concerning the COVID-19 pandemic have been constantly evolving, additional impacts and risks may arise that we are not aware of or able to appropriately respond to at this time.",0,2
"New Chittoor facility During FY20, our eighth manufacturing facility in Chittoor district in Andhra Pradesh was commissioned with Phase I installed capacity of 0.4 million units. The total Phase I investment for setting up the manufacturing facility is around ` 622 crore for a projected 1.8 million units annual capacity.",0,1
"In April 2020, we announced our A$20 million Community Support Fund which is supporting our host communities with the challenges associated with the COVID-19 pandemic. Since launching the Fund, a number of health, livelihood and economic recovery initiatives have been funded such as a partnership with the University of Queensland to support COVID-19 vaccine research, a contribution to the cost of new lost-cost ventilators and partnering with international organisations to deliver medical supplies, equipment, infrastructure and services in Papua New Guinea.",0,2
"In addition, we have been gradually introducing RPA, which uses robots to automate a series of tasks previously performed by employees, resulting in a reduction in work hours of approximately 300,000 hours in the fiscal year ended March 31, 2020. Going forward, we will continue to promote automation and labor savings in data input operations to improve administrative efficiency.",0,1
"AGL's Risk Management Policy, which has been approved by AGL's Board, mandates that management utilise risk management principles in decision-making, and requires all AGL people to consider their functions and roles and how to manage risks arising from their business decisions and activities. AGL's Statement of Risk Appetite, reviewed annually by the ARMC, sets out AGL's risk appetite in relation to strategic, financial, market and operational risks, as well as AGL's risk tolerance (which in turn identifies activities for which AGL has no appetite).",0,3
"In addi- tion, analyses of various trends will be performed periodi- cally in the future in order to revise assessments and disclose information on risks and opportunities related to other areas.",0,3
"In terms of piloting, we are analysing CIB listed companies sub-portfolio data (about 30 percent of the total in terms of EAD of given portfolio) while for remaining companies we are applying proxies based on sector and size of the company.",0,3
"In 2020, the EBRD signed a US$ 100 million project to finance Louis Dreyfus Company's (LDC) subsidiaries operating in Bulgaria, Egypt, Kazakhstan, Poland, Romania, Tajikistan, Turkey and Ukraine. The transaction will finance working capital needs for the trading activities of LDC's subsidiaries in these countries.",0,2
"3.3 Building on Intrinsic Business Model Strengths A pillar of the NorthEdge business is the principle of active partnership and influence to deliver on our core purpose. We enable this through relationship building with our target and existing portfolio company management teams. Then, formally known as 'active ownership', we leverage our nonexecutive Director role on investee company Boards, combined with our informal relationship(s), to steer a focus on value creation.",0,2
"In Europe, as new legislative initiatives have been brought in, we have sought to maximize the opportunities for digital dissemination. BlackRock produces approximately 50,000 Undertakings for the Collective Investment in Transferable Securities ('UCITS') Key Investor Information Documents a year in multiple languages and we use our website as our primary delivery mechanism. We have also consistently advocated for key information disclosure documents, including UCITS, packaged retail investment, and insurance-based investment products and pan European personal pension products to be designed on a digitally friendly basis rather than on a paper basis.65",0,2
"As our activities advance, the metrics and targets we use to monitor our success will likely evolve as well. Through our participation in industry groups, we intend to continue developing appropriate metrics that can be adopted consistently by financial institutions to provide comparable, decision-useful information to investors.",0,1
"Risk committees Effective risk management requires company-wide risk governance. ING's risk and control structure is based on the 'three lines of defence' governance model, whereby each line has a specific role and defined responsibilities and the execution and control of tasks are separated. At the same time, the three lines have to work closely together to identify, assess and mitigate risks. This governance framework is designed to manage risk in line with ING's overall risk appetite as approved by the Management Board Banking, Executive Board and Supervisory Board.",0,4
"4) After segmentation, a calibration phase is proposed. In this phase, it is necessary to select five clients from each established segment minimally and to estimate the impact on their default probability against the established revenue, cost and investment impacts. There is no single way to apply this step, and it can be constructed either quantitatively or qualitatively.",0,3
"JetBlue's workforce is broadly diversified among several job classifications, with Airport Operations crewmembers as the largest group at 31.3%. Nearly all (99.2%) of JetBlue's workforce is based in the United States. For more information on our workforce and crewmembers, see page 39. (TR0201-05)",0,4
"We ensure that all airport operations, flight, and inflight crewmembers are equipped with the knowledge to identify and respond to potential cases of human trafficking through their initial training and subsequent annual recurrent training. In addition, all crewmembers can take an online human trafficking course. Crewmembers are taught what human trafficking is, who the victims typically are, what signs to look for, and how to report information of suspected human trafficking.",0,3
"Accordingly, we have defined the associated risks and opportunities from a medium- to long-term perspective looking to 2030 and beyond rather than based on the short-term timeframe of the three-year medium-term management plan.",0,3
"By their very nature, these forward-looking statements require assumptions to be made and involve inherent risks and uncertainties, both general and specific. Assumptions about the performance of the Canadian and U.S. economies in 2020, including in the context of the COVID-19 pandemic, and how that affect the Bank's business are among the main factors considered in setting the Bank's strategic priorities and objectives.",0,2
"In addition to e-learning modules on sectoral policies, available in eight languages, 12 interactive sessions (including methodology reviews and case studies) were organised to help employees improve their understanding and grasp of existing tools.",0,3
Our new policy measures outlined on page 1 will play a key role in shaping our portfolio over the coming years and help ensure we stay on track to meet our longer term goal.,0,1
"These sector-specific policies are usually developed by the AI taking into account relevant industry certification schemes, international practices, its strategy, level of exposure to the particular sector, and even its engagement with customers, industry experts, shareholders and the community.",0,3
"The Group Compliance SU (CPLE) is responsible for the definition and consistency of the compliance risk prevention and control framework, and for coordinating the framework aimed at preventing, identifying, assessing and controlling reputational risk across the entire Group.",0,4
It is essential that risk assessment and risk-informed decision-making is integrated across all levels of our organization - from the board of directors through oversight of the risk management policy and program to executive leadership through the Risk Management Committee and to business operations.,0,4
- CaixaBank voluntarily applies this procedure to sy - ndicated operations with a term of 3 years or more and when CaixaBank's individual commitment is between $7 million and $35 million.,0,1
"The process is continuous and dynamic and provides for the following sub-processes: (i) risk governance, methods and tools, (ii) risk strategy, (iii) integrated risk management, (iv) risk knowledge, training and communication.",0,3
"The Audit Committee Charter states that the committee will 'discuss policies and procedures with respect to risk assessment and risk management, the company's major risk exposures, and the steps management has taken to monitor and mitigate such exposures.' The Vice President and General Auditor, Corporate Auditing, whose appointment and performance is reviewed and evaluated by the Audit Committee, is responsible for leading the formal risk assessment and management process within the company.",0,4
"4.3.4 Methods of stakeholder engagement are flexible and can be tailored according to different objectives. They may include surveys, meetings, written communication or any other channels, depending on the types of stakeholders. Given the areas of concerns and expectations may change over time, engagement should be an iterative process.",0,2
"This long-term perspective is reflected in the choice of strategic portfolio, which includes both the long-term distribution of capital over various broad asset classes as well as strategies that determine the distribution within each asset class of individual securities.",0,3
"We have been investing in videoconferencing and remote working capabilities as part of our IT Transformation Programme. Videoconferencing is integrated into our online collaboration platforms, enabling colleagues to join virtual meetings anytime, anywhere. Our teams can run webcasts with up to 500 participants.",0,2
"In the case of substantial risks at sector level in the field of corporate and project financing, the reporting chain is as follows: Similar mechanisms exist for banking risks, country risks, market price risks and operational risks.",0,3
"A top risk is defined as having: (i) the potential to have a material impact, across a business area or geographical area, on the financial results, reputation or sustainability of the Group; (ii) the potential of occurring in the near future.",0,2
